portid,year,month,portname,mean_n_total,median_n_total,std_n_total,cv_n_total,mean_n_tanker,tanker_share,mean_capacity,mean_capacity_tanker,tanker_capacity_share,mean_n_container,mean_n_dry_bulk,mean_n_general_cargo,mean_n_cargo,disruption_frequency_total,disruption_frequency_tanker,strong_disruption_frequency_total,strong_disruption_frequency_tanker,max_drop_n_total,max_drop_n_tanker,observed_days,estimated_7d_lost_vessels,estimated_14d_lost_vessels,estimated_30d_lost_vessels,estimated_7d_lost_tankers,estimated_14d_lost_tankers,estimated_30d_lost_tankers,estimated_7d_lost_capacity,estimated_14d_lost_capacity,estimated_30d_lost_capacity,estimated_7d_lost_tanker_capacity,estimated_14d_lost_tanker_capacity,estimated_30d_lost_tanker_capacity,criticality_score,criticality_class
chokepoint1,2019,1,Suez Canal,49.61290322580645,49.0,6.401444729407254,0.12902781964344923,16.032258064516128,0.323146944083225,2259651.9677419355,764611.8064516129,0.33837591689648006,16.419354838709676,10.03225806451613,4.67741935483871,33.58064516129032,0.0,0.0,0.0,0.0,0.20408163265306123,0.20792079207920794,31,347.2903225806451,694.5806451612902,1488.3870967741934,112.2258064516129,224.4516129032258,480.96774193548384,15817563.774193548,31635127.548387095,67789559.03225806,5352282.64516129,10704565.29032258,22938354.193548385,20.121,2
chokepoint1,2019,2,Suez Canal,50.285714285714285,49.0,7.566285564838091,0.1504659061189393,15.285714285714286,0.30397727272727276,2419301.8214285714,817555.4285714285,0.3379303158167636,17.642857142857142,10.214285714285714,4.5,35.0,0.0,0.03571428571428571,0.0,0.0,0.2838196286472148,0.5578947368421053,28,352.0,704.0,1508.5714285714284,107.0,214.0,458.5714285714286,16935112.75,33870225.5,72579054.64285713,5722888.0,11445776.0,24526662.857142854,20.602,2
chokepoint1,2019,3,Suez Canal,49.483870967741936,50.0,6.869599540691027,0.13882502331253052,16.967741935483872,0.3428943937418514,2358733.5483870967,843587.0322580645,0.35764405557164763,16.06451612903226,9.64516129032258,4.290322580645161,32.516129032258064,0.03225806451612903,0.03225806451612903,0.0,0.0,0.3112761647535449,0.5857988165680473,31,346.38709677419354,692.7741935483871,1484.516129032258,118.7741935483871,237.5483870967742,509.03225806451616,16511134.838709677,33022269.677419353,70762006.4516129,5905109.225806451,11810218.451612903,25307610.967741936,22.459,2
chokepoint1,2019,4,Suez Canal,52.233333333333334,52.5,8.097182708577838,0.1550194519829835,15.9,0.3044033184428845,2526429.8,880657.4666666667,0.34857784952768794,17.266666666666666,10.766666666666667,5.266666666666667,36.333333333333336,0.03333333333333333,0.0,0.0,0.0,0.3865435356200527,0.474835886214442,30,365.6333333333333,731.2666666666667,1567.0,111.3,222.6,477.0,17685008.599999998,35370017.199999996,75792894.0,6164602.266666667,12329204.533333333,26419724.0,22.858,2
chokepoint1,2019,5,Suez Canal,51.516129032258064,52.0,7.1268083915215765,0.1383413025279705,15.96774193548387,0.30995616781465246,2447863.0322580645,820811.3870967742,0.33531753054810653,18.0,10.03225806451613,4.967741935483871,35.54838709677419,0.0,0.0,0.0,0.0,0.2639257294429708,0.6120689655172414,31,360.61290322580646,721.2258064516129,1545.483870967742,111.77419354838709,223.54838709677418,479.0322580645161,17135041.225806452,34270082.451612905,73435890.96774194,5745679.70967742,11491359.41935484,24624341.612903226,20.916,2
chokepoint1,2019,6,Suez Canal,49.4,49.0,6.355014311278278,0.12864401439834572,15.433333333333334,0.3124156545209177,2422642.3666666667,828332.9666666667,0.34191301946327995,17.1,9.0,5.266666666666667,33.96666666666667,0.0,0.0,0.0,0.0,0.2248062015503876,0.5588235294117647,30,345.8,691.6,1482.0,108.03333333333333,216.06666666666666,463.0,16958496.566666666,33916993.13333333,72679271.0,5798330.766666667,11596661.533333333,24849989.0,20.698,2
chokepoint1,2019,7,Suez Canal,51.483870967741936,51.0,4.952245064896899,0.09619022369160643,14.870967741935484,0.28884711779448624,2439291.4838709678,756403.5483870967,0.31009149721899676,17.838709677419356,11.35483870967742,4.967741935483871,36.61290322580645,0.0,0.0,0.0,0.0,0.1496374423203692,0.5955056179775281,31,360.38709677419354,720.7741935483871,1544.516129032258,104.09677419354838,208.19354838709677,446.1290322580645,17075040.387096774,34150080.77419355,73178744.51612903,5294824.838709677,10589649.677419353,22692106.4516129,20.237,2
chokepoint1,2019,8,Suez Canal,55.096774193548384,55.0,7.072740339781922,0.12836940897730656,16.096774193548388,0.2921545667447307,2548894.5161290322,822693.9677419355,0.32276501147303205,18.06451612903226,12.806451612903226,5.290322580645161,39.0,0.0,0.0,0.0,0.0,0.20810313075506442,0.2841648590021692,31,385.67741935483866,771.3548387096773,1652.9032258064515,112.67741935483872,225.35483870967744,482.90322580645164,17842261.612903226,35684523.22580645,76466835.48387097,5758857.774193549,11517715.548387097,24680819.032258064,21.31,2
chokepoint1,2019,9,Suez Canal,53.03333333333333,52.0,5.176094475856146,0.09760077578609955,16.266666666666666,0.30672532998114393,2452944.2333333334,766576.8666666667,0.31251296146466273,17.166666666666668,13.4,4.033333333333333,36.766666666666666,0.0,0.0,0.0,0.0,0.21151439299123903,0.368421052631579,30,371.23333333333335,742.4666666666667,1591.0,113.86666666666666,227.73333333333332,488.0,17170609.633333333,34341219.266666666,73588327.0,5366038.066666666,10732076.133333333,22997306.0,20.761,2
chokepoint1,2019,10,Suez Canal,56.70967741935484,57.0,4.7201239276604925,0.08323312955487785,17.64516129032258,0.3111490329920364,2564942.9032258065,808557.6451612903,0.31523416920680997,17.096774193548388,14.35483870967742,4.838709677419355,39.064516129032256,0.0,0.0,0.0,0.0,0.15162454873646208,0.2622950819672131,31,396.9677419354839,793.9354838709678,1701.2903225806451,123.51612903225806,247.03225806451613,529.3548387096774,17954600.322580647,35909200.64516129,76948287.09677419,5659903.516129032,11319807.032258064,24256729.35483871,21.737,2
chokepoint1,2019,11,Suez Canal,53.333333333333336,53.5,4.436007317345209,0.08317513720022267,17.066666666666666,0.32,2448338.6333333333,835568.0333333333,0.3412796015867032,16.366666666666667,12.033333333333333,5.333333333333333,36.266666666666666,0.03333333333333333,0.03333333333333333,0.0,0.0,0.19708029197080287,0.42196531791907516,30,373.33333333333337,746.6666666666667,1600.0,119.46666666666667,238.93333333333334,512.0,17138370.433333334,34276740.86666667,73450159.0,5848976.233333333,11697952.466666667,25067041.0,22.769,2
