portid,portname,mean_n_total,median_n_total,std_n_total,cv_n_total,mean_n_tanker,tanker_share,mean_capacity,mean_capacity_tanker,tanker_capacity_share,mean_n_container,mean_n_dry_bulk,mean_n_general_cargo,mean_n_cargo,disruption_frequency_total,disruption_frequency_tanker,strong_disruption_frequency_total,strong_disruption_frequency_tanker,max_drop_n_total,max_drop_n_tanker,observed_days,estimated_7d_lost_vessels,estimated_14d_lost_vessels,estimated_30d_lost_vessels,estimated_7d_lost_tankers,estimated_14d_lost_tankers,estimated_30d_lost_tankers,estimated_7d_lost_capacity,estimated_14d_lost_capacity,estimated_30d_lost_capacity,estimated_7d_lost_tanker_capacity,estimated_14d_lost_tanker_capacity,estimated_30d_lost_tanker_capacity,criticality_score,criticality_class
chokepoint1,Suez Canal,53.49607182940516,52.0,14.714958995740885,0.27506615892594416,17.457538346427235,0.3263330885695304,2313981.30976431,813187.3232323233,0.35142346215196973,14.808454919566032,14.104377104377104,5.079685746352413,36.038533482977925,0.0205761316872428,0.01533857089412645,0.0007482229704451926,0.0,0.9619530754597336,1.0,2673,374.47250280583614,748.9450056116723,1604.8821548821547,122.20276842499064,244.40553684998127,523.7261503928171,16197869.168350168,32395738.336700335,69419439.29292929,5692311.262626263,11384622.525252527,24395619.6969697,30.733,2
chokepoint10,Oresund Strait,48.47961092405537,48.0,9.497776662209423,0.1959128070785871,11.756827534605312,0.24251076505178026,102912.24429479985,29494.106247661803,0.28659472397836083,5.813692480359147,6.140291806958474,21.605312383090162,36.72278338945006,0.021698466142910586,0.011597456041900486,0.001122334455667789,0.0,0.5804195804195804,0.8095238095238095,2673,339.3572764683876,678.7145529367752,1454.3883277216612,82.29779274223719,164.59558548447438,352.70482603815935,720385.7100635989,1440771.4201271979,3087367.3288439955,206458.7437336326,412917.4874672652,884823.1874298541,15.667,1
chokepoint11,Taiwan Strait,241.35054246165356,243.0,36.336545159306326,0.15055505899714136,55.43396932285821,0.2296823895958954,5503200.676393566,851183.6187803965,0.15467064874294317,85.50579872802095,64.47138047138047,29.624766180321735,185.91657313879537,0.036288814066591846,0.025065469509913955,0.008604564160119716,0.005237560793116348,0.9668194027492495,0.9546142208774584,2673,1689.453797231575,3378.90759446315,7240.5162738496065,388.03778526000747,776.0755705200149,1663.0190796857464,38522404.73475496,77044809.46950991,165096020.29180697,5958285.331462775,11916570.66292555,25535508.563411895,65.518,3
chokepoint12,Korea Strait,223.22409277964834,226.0,31.79966745829985,0.14245625130478332,61.68574635241302,0.2763400024803998,2940337.314627759,801585.0606060605,0.2726167017023146,56.332585110362885,41.197904975682754,55.04676393565283,161.53834642723533,0.03741114852225964,0.025813692480359147,0.0074822297044519264,0.00411522633744856,0.995622355172917,1.0,2673,1562.5686494575384,3125.137298915077,6696.72278338945,431.8002244668911,863.6004489337822,1850.5723905723905,20582361.202394314,41164722.40478863,88210119.43883277,5611095.424242424,11222190.848484848,24047551.818181816,56.03,3
chokepoint13,Tsugaru Strait,44.91806958473625,46.0,11.895771421359273,0.2648326504530286,12.202020202020202,0.27165059217430415,964112.0190796858,130578.53236064347,0.13543917073587575,10.553684998129443,13.367751589973812,6.825289936401047,32.71604938271605,0.02880658436213992,0.011971567527123082,0.0029928918817807705,0.0,0.8487903225806451,1.0,2673,314.42648709315375,628.8529741863075,1347.5420875420875,85.41414141414141,170.82828282828282,366.06060606060606,6748784.1335578,13497568.2671156,28923360.572390575,914049.7265245043,1828099.4530490085,3917355.970819304,21.066,1
chokepoint14,Luzon Strait,70.14665170220725,69.0,18.72288970756843,0.26691066862396357,24.287691732136178,0.34624164008917246,4279429.189674523,1554487.9315375981,0.3632465599123108,6.716423494201272,32.196408529741866,4.470258136924803,45.85895997007108,0.030303030303030304,0.02319491208380097,0.00411522633744856,0.0014964459408903852,1.0,1.0,2673,491.02656191545077,982.0531238309015,2104.3995510662176,170.01384212495324,340.0276842499065,728.6307519640853,29956004.32772166,59912008.65544332,128382875.69023567,10881415.520763187,21762831.041526373,46634637.94612794,46.622,3
chokepoint15,Lombok Strait,35.42349420127198,35.0,6.040116777859488,0.17051160293618356,7.193415637860082,0.20306905911054315,2557820.1661054995,141997.19042274597,0.05551492333370288,0.19229330340441453,26.207631874298542,1.5682753460531238,28.230078563411897,0.02319491208380097,0.012345679012345678,0.0,0.0,0.5886075949367089,1.0,2673,247.96445940890385,495.9289188178077,1062.7048260381594,50.35390946502057,100.70781893004114,215.80246913580245,17904741.162738495,35809482.32547699,76734604.98316498,993980.3329592218,1987960.6659184436,4259915.712682379,22.068,1
chokepoint16,Ombai Strait,11.09652076318743,11.0,3.405322184141466,0.3068819729007835,3.7018331462775906,0.3336030477731702,543061.6775158998,70415.75720164609,0.12966438273410383,1.2977927422371867,5.004489337822672,0.953610175832398,7.394687616909839,0.013468013468013467,0.0074822297044519264,0.0,0.0,0.8260869565217391,1.0,2673,77.67564534231201,155.35129068462402,332.89562289562286,25.912832023943135,51.82566404788627,111.05499438832771,3801431.7426112983,7602863.485222597,16291850.325476993,492910.3004115226,985820.6008230452,2112472.716049383,13.612,1
chokepoint17,Bohai Strait,175.00710811821924,179.0,33.265325949606904,0.19007985622581575,36.35727646838758,0.20774742728636963,5595598.671904228,676359.128694351,0.12087341647469875,21.310886644219977,95.21399176954732,19.660306771417883,138.64983164983164,0.04713804713804714,0.029180695847362513,0.009726898615787506,0.0037411148522259632,0.9932855863921217,1.0,2673,1225.0497568275346,2450.099513655069,5250.213243546577,254.5009352787131,509.0018705574262,1090.7182940516275,39169190.70332959,78338381.40665919,167867960.15712684,4734513.900860457,9469027.801720913,20290773.860830527,58.122,3
chokepoint18,Torres Strait,9.04190048634493,9.0,2.893009017825398,0.3199558568681902,2.0183314627759072,0.22321982705118126,187479.81369248035,35264.15862326974,0.1880957631049969,1.4702581369248036,4.30115974560419,0.9973812196034418,7.023569023569023,0.013468013468013467,0.0014964459408903852,0.0,0.0,0.8936170212765957,1.0,2673,63.293303404414516,126.58660680882903,271.2570145903479,14.12832023943135,28.2566404788627,60.549943883277216,1312358.6958473625,2624717.391694725,5624394.410774411,246849.11036288817,493698.22072577634,1057924.758698092,8.762,0
chokepoint19,Sunda Strait,28.70183314627759,28.0,6.041812921205358,0.21050268428547866,11.183688739244294,0.3896506777893639,1043077.6000748223,266513.91694725025,0.25550727666679124,3.1421623643845864,10.737373737373737,3.0014964459408904,17.518144407033297,0.01421623643845866,0.012345679012345678,0.0003741114852225963,0.0003741114852225963,0.5708712613784135,0.9112426035502958,2673,200.91283202394314,401.8256640478863,861.0549943883277,78.28582117471007,156.57164234942013,335.5106621773288,7301543.200523756,14603086.401047513,31292328.00224467,1865597.4186307518,3731194.8372615036,7995417.508417508,20.477,1
chokepoint2,Panama Canal,30.22222222222222,31.0,4.100806843350107,0.1356884617284962,12.39917695473251,0.41026688453159044,858688.6479610924,313614.6689113356,0.36522512514401567,7.439955106621773,6.58511036288814,1.678264122708567,17.82304526748971,0.027684249906472128,0.01533857089412645,0.002244668911335578,0.0003741114852225963,0.36241610738255037,0.8051948051948052,2673,211.55555555555554,423.1111111111111,906.6666666666666,86.79423868312757,173.58847736625515,371.9753086419753,6010820.535727647,12021641.071455294,25760659.43883277,2195302.682379349,4390605.364758698,9408440.067340067,23.804,2
chokepoint20,Makassar Strait,51.958847736625515,52.0,8.855448296955704,0.17043196072867384,5.196408529741863,0.10001008020966835,2773089.236438459,66240.12570145904,0.023886763120011503,1.9543583988028432,42.42947998503554,2.2570145903479237,46.76243920688365,0.017957351290684626,0.00710811821922933,0.001122334455667789,0.0,0.8212956068503351,1.0,2673,363.7119341563786,727.4238683127572,1558.7654320987654,36.37485970819304,72.74971941638609,155.8922558922559,19411624.65506921,38823249.31013842,83192677.09315376,463680.8799102133,927361.7598204266,1987203.7710437712,20.277,1
chokepoint21,Magellan Strait,3.8802843247287693,4.0,2.1253470114617032,0.5477297109175793,0.9756827534605312,0.25144620131122253,119027.04900860456,33676.685746352414,0.2829330477975464,0.30265619154508044,2.1477740366629257,0.27085671530115973,2.904601571268238,0.004863449307893753,0.0,0.0,0.0,1.0,1.0,2673,27.161990273101384,54.32398054620277,116.40852974186308,6.829779274223719,13.659558548447437,29.270482603815935,833189.3430602319,1666378.6861204638,3570811.4702581367,235736.8002244669,471473.6004489338,1010300.5723905724,6.873,0
