closed_chokepoint,duration_days,anchor_date,redistribution_rate,lost_vessels_closed,lost_tankers_closed,lost_capacity_closed,lost_tanker_capacity_closed,redistributed_vessels_to_others,redistributed_tankers_to_others,net_vessels_loss,net_tankers_loss
Malacca Strait,14,2026-04-26,0.45,3012.0,975.0,104287644.0,30864348.0,1052.2285714285717,336.34285714285716,1959.7714285714278,638.6571428571427
Taiwan Strait,14,2026-04-26,0.35,3211.0,648.0,77544443.0,8544908.0,880.25,177.2,2330.75,470.79999999999995
Strait of Hormuz,14,2026-02-28,0.08,1406.0,772.0,55967859.0,38970929.0,89.3942857142857,49.11999999999999,1316.6057142857144,722.8800000000001
Bohai Strait,14,2026-04-26,0.3,2380.0,447.0,83272910.0,7328700.0,557.6571428571428,104.44285714285715,1822.3428571428572,342.5571428571428
Korea Strait,14,2026-04-26,0.35,2733.0,686.0,40276225.0,9792011.0,752.45,191.35,1980.55,494.65000000000003
Malacca Strait,30,2026-04-26,0.45,6397.0,2081.0,227021276.0,67299103.0,2606.335714285715,846.5785714285714,3790.664285714285,1234.4214285714284
Taiwan Strait,30,2026-04-26,0.35,6887.0,1338.0,173944280.0,19333429.0,2170.8999999999996,423.79999999999995,4716.099999999999,914.2000000000002
Strait of Hormuz,30,2026-02-28,0.08,2844.0,1572.0,114205106.0,80219100.0,206.38857142857142,114.17142857142855,2637.6114285714284,1457.8285714285712
Bohai Strait,30,2026-04-26,0.3,5076.0,1006.0,182537136.0,16351407.0,1363.3285714285712,270.42857142857144,3712.6714285714284,735.5714285714286
Korea Strait,30,2026-04-26,0.35,5792.0,1466.0,83795615.0,19884889.0,1825.35,464.0999999999999,3966.6500000000005,1001.9000000000001
Malacca Strait,90,2026-04-26,0.45,19885.0,6772.0,727960834.0,252232503.0,8634.150000000001,2943.321428571429,11250.850000000002,3828.6785714285716
Taiwan Strait,90,2026-04-26,0.35,20124.0,4109.0,501909322.0,65035862.0,6801.849999999999,1385.25,13322.150000000001,2723.75
Strait of Hormuz,90,2026-02-28,0.08,7043.0,3869.0,293574020.0,205593225.0,547.2457142857144,300.73142857142864,6495.754285714286,3568.2685714285712
Bohai Strait,90,2026-04-26,0.3,14748.0,3203.0,554331229.0,61658688.0,4270.928571428572,928.0714285714286,10477.07142857143,2274.9285714285716
Korea Strait,90,2026-04-26,0.35,17201.0,4489.0,256716632.0,64151324.0,5828.349999999999,1519.7,11372.65,2969.3
