portname,date,baseline_n_total,baseline_n_tanker,baseline_capacity,baseline_capacity_tanker,period,days_from_closure,closed_chokepoint,is_post_closure,days_since_closure,ramp_factor,sim_n_total,sim_n_tanker,sim_capacity,sim_capacity_tanker,lost_n_total,lost_n_tanker,lost_capacity,lost_capacity_tanker,open_capacity_pool,route_weight,redistribution_weight,redistribution_rate,delta_n_total,delta_n_tanker,delta_capacity,delta_capacity_tanker,duration_days,scenario_name,anchor_date
Bab el-Mandeb Strait,2026-02-26,43.0,17.0,1424099.0,842719.0,historique,-60,Malacca Strait,False,0,0.0,43.0,17.0,1424099.0,842719.0,,,,,,0.0,0.0,0.45,0.0,0.0,0.0,0.0,14,Malacca Strait fermé 14 jours,2026-04-26
Bab el-Mandeb Strait,2026-02-27,35.0,14.0,1341829.0,877363.0,historique,-59,Malacca Strait,False,0,0.0,35.0,14.0,1341829.0,877363.0,,,,,,0.0,0.0,0.45,0.0,0.0,0.0,0.0,14,Malacca Strait fermé 14 jours,2026-04-26
Bab el-Mandeb Strait,2026-02-28,23.0,11.0,1489680.0,655691.0,historique,-58,Malacca Strait,False,0,0.0,23.0,11.0,1489680.0,655691.0,,,,,,0.0,0.0,0.45,0.0,0.0,0.0,0.0,14,Malacca Strait fermé 14 jours,2026-04-26
Bab el-Mandeb Strait,2026-03-01,30.0,13.0,1296946.0,665460.0,historique,-57,Malacca Strait,False,0,0.0,30.0,13.0,1296946.0,665460.0,,,,,,0.0,0.0,0.45,0.0,0.0,0.0,0.0,14,Malacca Strait fermé 14 jours,2026-04-26
Bab el-Mandeb Strait,2026-03-02,24.0,9.0,622270.0,368192.0,historique,-56,Malacca Strait,False,0,0.0,24.0,9.0,622270.0,368192.0,,,,,,0.0,0.0,0.45,0.0,0.0,0.0,0.0,14,Malacca Strait fermé 14 jours,2026-04-26
Bab el-Mandeb Strait,2026-03-03,40.0,15.0,1151202.0,505303.0,historique,-55,Malacca Strait,False,0,0.0,40.0,15.0,1151202.0,505303.0,,,,,,0.0,0.0,0.45,0.0,0.0,0.0,0.0,14,Malacca Strait fermé 14 jours,2026-04-26
Bab el-Mandeb Strait,2026-03-04,27.0,7.0,984782.0,455916.0,historique,-54,Malacca Strait,False,0,0.0,27.0,7.0,984782.0,455916.0,,,,,,0.0,0.0,0.45,0.0,0.0,0.0,0.0,14,Malacca Strait fermé 14 jours,2026-04-26
Bab el-Mandeb Strait,2026-03-05,32.0,9.0,1006543.0,183271.0,historique,-53,Malacca Strait,False,0,0.0,32.0,9.0,1006543.0,183271.0,,,,,,0.0,0.0,0.45,0.0,0.0,0.0,0.0,14,Malacca Strait fermé 14 jours,2026-04-26
Bab el-Mandeb Strait,2026-03-06,31.0,10.0,948312.0,305239.0,historique,-52,Malacca Strait,False,0,0.0,31.0,10.0,948312.0,305239.0,,,,,,0.0,0.0,0.45,0.0,0.0,0.0,0.0,14,Malacca Strait fermé 14 jours,2026-04-26
Bab el-Mandeb Strait,2026-03-07,34.0,16.0,1143626.0,649380.0,historique,-51,Malacca Strait,False,0,0.0,34.0,16.0,1143626.0,649380.0,,,,,,0.0,0.0,0.45,0.0,0.0,0.0,0.0,14,Malacca Strait fermé 14 jours,2026-04-26
Bab el-Mandeb Strait,2026-03-08,43.0,16.0,1622487.0,816751.0,historique,-50,Malacca Strait,False,0,0.0,43.0,16.0,1622487.0,816751.0,,,,,,0.0,0.0,0.45,0.0,0.0,0.0,0.0,14,Malacca Strait fermé 14 jours,2026-04-26
