model,portname,split_id,anchor_date,horizon_days,variable,mae,rmse,mape,smape,mean_actual,mean_predicted
analog,Malacca Strait,1,2020-01-01,14,n_total,15.0,17.246117575517438,8.803685664095658,8.703322954484758,174.78571428571428,177.64285714285714
analog,Malacca Strait,2,2022-02-03,14,n_total,16.071428571428573,18.805394362864533,7.851051078481511,7.720036576788083,204.64285714285714,209.71428571428572
analog,Malacca Strait,3,2024-03-08,14,n_total,20.142857142857142,24.634470622628424,9.193336178295976,9.407130278326507,219.14285714285714,211.57142857142858
analog,Malacca Strait,4,2026-04-12,14,n_total,16.071428571428573,19.043184007483024,7.347250393927808,7.438509067727124,215.14285714285714,214.21428571428572
sarimax,Malacca Strait,1,2020-01-01,14,n_total,9.872555297282545,12.153391749509279,5.757811606223153,5.753212737620285,174.78571428571428,171.51290664256862
sarimax,Malacca Strait,2,2022-02-03,14,n_total,10.781574791324433,13.605945106199266,5.476211634387973,5.29443938185876,204.64285714285714,209.87899454686786
sarimax,Malacca Strait,3,2024-03-08,14,n_total,11.695360533672567,14.214351097675944,5.5075130022101195,5.361813231532587,219.14285714285714,223.3019943885789
sarimax,Malacca Strait,4,2026-04-12,14,n_total,11.057509709941455,13.788102510735543,5.016955516921136,5.091809148651178,215.14285714285714,213.2663214732479
analog,Malacca Strait,1,2020-01-01,30,n_total,13.433333333333334,17.221111075266503,7.709171979797856,7.715585949280294,175.46666666666667,173.23333333333332
analog,Malacca Strait,2,2022-01-29,30,n_total,14.5,17.550878420561556,7.170319834614322,7.119592633091195,203.9,204.2
analog,Malacca Strait,3,2024-02-27,30,n_total,17.866666666666667,22.753754268984565,8.444213577384367,8.263078321169107,216.9,219.36666666666667
analog,Malacca Strait,4,2026-03-27,30,n_total,17.033333333333335,20.750100401363525,8.168053678052628,7.9353070935791425,213.23333333333332,217.26666666666668
sarimax,Malacca Strait,1,2020-01-01,30,n_total,10.321579979334599,12.975142599464393,5.872592977977057,5.962021851375162,175.46666666666667,170.75773981359382
sarimax,Malacca Strait,2,2022-01-29,30,n_total,12.409487354472663,14.501362494892389,6.170734517858914,6.059145462322755,203.9,207.81561743035763
sarimax,Malacca Strait,3,2024-02-27,30,n_total,14.696193180167889,17.609396924129772,7.0742768219982946,6.775171954529166,216.9,225.56073245359502
sarimax,Malacca Strait,4,2026-03-27,30,n_total,11.398549310759499,13.697268324236711,5.4182743725876845,5.351405396326647,213.23333333333332,214.86365551413908
analog,Malacca Strait,1,2020-01-01,90,n_total,17.433333333333334,21.86346521279532,10.995063025422741,10.394358629857924,165.25555555555556,172.15555555555557
analog,Malacca Strait,2,2022-01-09,90,n_total,27.08888888888889,35.638618254796455,13.226050206992628,14.646791935606748,202.8,185.86666666666667
analog,Malacca Strait,3,2024-01-18,90,n_total,18.233333333333334,22.066314196580773,8.434939257458634,8.246138798459276,220.93333333333334,224.14444444444445
analog,Malacca Strait,4,2026-01-26,90,n_total,23.844444444444445,28.757221315311007,11.072102990463105,10.340060997933472,220.94444444444446,238.38888888888889
sarimax,Malacca Strait,1,2020-01-01,90,n_total,13.00627603519425,16.8311293901281,8.350816930846392,7.922070326617299,165.25555555555556,170.81772042623487
sarimax,Malacca Strait,2,2022-01-09,90,n_total,11.424567504457897,14.190271689254297,5.745083955751464,5.605398686146636,202.8,207.95833279140868
sarimax,Malacca Strait,3,2024-01-18,90,n_total,14.299048887711873,18.201091126091978,6.728234498198596,6.475326873403575,220.93333333333334,228.1876622999553
sarimax,Malacca Strait,4,2026-01-26,90,n_total,23.089551047639453,26.82345339988057,10.9215652075075,10.164200355429186,220.94444444444446,242.02267911330262
analog,Taiwan Strait,1,2020-01-01,14,n_total,33.714285714285715,40.42806662986212,15.302290507474334,14.003930642223597,233.5,260.64285714285717
analog,Taiwan Strait,2,2022-02-03,14,n_total,24.214285714285715,31.044898361658625,10.8722072373319,11.10643419380138,216.71428571428572,216.07142857142858
analog,Taiwan Strait,3,2024-03-08,14,n_total,24.428571428571427,32.202484376209235,9.959484031642807,10.6113869596905,240.0,225.42857142857142
analog,Taiwan Strait,4,2026-04-12,14,n_total,18.357142857142858,21.409277027894774,8.101533139278331,8.048062859222341,229.35714285714286,228.28571428571428
sarimax,Taiwan Strait,1,2020-01-01,14,n_total,34.81868660503595,40.17782979188548,15.939494945900387,14.35229271373073,233.5,265.01763343243186
sarimax,Taiwan Strait,2,2022-02-03,14,n_total,17.562398193434806,20.74750083208302,8.321027461892584,8.019030177739985,216.71428571428572,225.70644517847785
sarimax,Taiwan Strait,3,2024-03-08,14,n_total,14.370793544529516,19.74684512752139,5.673428575232002,5.940417656437569,240.0,229.77273920023526
sarimax,Taiwan Strait,4,2026-04-12,14,n_total,18.521111844010864,21.645494139294655,7.955864305357943,8.093249277552875,229.35714285714286,223.95867204051223
analog,Taiwan Strait,1,2020-01-01,30,n_total,47.63333333333333,56.33678490412222,23.635705701247574,20.227910440355444,216.6,259.3
analog,Taiwan Strait,2,2022-01-29,30,n_total,19.433333333333334,24.936586240568964,9.1214629444861,9.102059135348675,216.8,215.96666666666667
analog,Taiwan Strait,3,2024-02-27,30,n_total,30.766666666666666,36.70740161511481,12.729795516946604,13.839152319084928,238.53333333333333,212.96666666666667
analog,Taiwan Strait,4,2026-03-27,30,n_total,23.733333333333334,27.536642254760594,10.395220308305001,10.63744872754949,229.56666666666666,221.1
sarimax,Taiwan Strait,1,2020-01-01,30,n_total,50.26119416838779,57.747015872551344,25.51722707626462,21.630475642094122,216.6,265.32070268783923
