model,portname,horizon_days,variable,mae,rmse,mape,smape,mean_actual,mean_predicted
sarimax,Bohai Strait,14,n_total,16.314710886659952,20.785203718606034,9.750759452634231,9.12963204881449,180.39285714285714,183.81678965188775
analog,Bohai Strait,14,n_total,23.67857142857143,30.029171181707095,13.631492534061387,13.310731712449876,180.39285714285714,181.10714285714286
sarimax,Korea Strait,14,n_total,17.290603485280066,22.36060773129293,8.31238426274361,8.062301592075508,217.76785714285714,217.43835604285624
analog,Korea Strait,14,n_total,24.785714285714285,30.098450278880605,11.734325260131117,11.547629074800167,217.76785714285714,219.33928571428572
sarimax,Malacca Strait,14,n_total,10.85175008305525,13.440447616030008,5.439622939935596,5.375318624915702,203.42857142857142,204.49005426281582
analog,Malacca Strait,14,n_total,16.821428571428573,19.932291642123353,8.298830828700238,8.317249719331619,203.42857142857142,203.28571428571428
sarimax,Strait of Hormuz,14,n_total,8.065135388621428,10.403974239807276,23.696141814581402,19.666993691617748,69.51785714285715,66.23083367950387
analog,Strait of Hormuz,14,n_total,11.589285714285715,15.319068904741012,31.009695528716037,26.94531581121015,69.51785714285715,65.60714285714286
sarimax,Taiwan Strait,14,n_total,21.318247546752783,25.579417472696136,9.47245382209573,9.10124745636529,229.89285714285714,236.1138724629143
analog,Taiwan Strait,14,n_total,25.17857142857143,31.27118159890619,11.058878728931843,10.942453663734454,229.89285714285714,232.60714285714286
sarimax,Bohai Strait,30,n_total,18.173847534365784,23.61475151852565,11.43691271487236,10.396548790610623,176.0,183.99661103082911
analog,Bohai Strait,30,n_total,27.616666666666667,37.71553205044791,16.643352594621675,16.227080227293794,176.0,180.2
sarimax,Korea Strait,30,n_total,19.099977105812616,25.965529897940755,9.472121140420183,8.934471160527917,216.81666666666666,218.2033213055132
analog,Korea Strait,30,n_total,28.691666666666666,37.64404445789849,13.975236226552829,13.599513285878356,216.81666666666666,215.64166666666665
sarimax,Malacca Strait,30,n_total,12.206452456183662,14.695792585680817,6.133969672605487,6.036936166138433,202.375,204.7494363029214
analog,Malacca Strait,30,n_total,15.708333333333334,19.568961041544036,7.872939767462293,7.758390999279936,202.375,203.51666666666665
sarimax,Strait of Hormuz,30,n_total,8.570930242923303,10.86204724128352,29.958022763224648,49.20805628271507,67.61666666666666,63.01627975524689
analog,Strait of Hormuz,30,n_total,12.716666666666667,18.395213175524532,61.54189607077696,31.24177693870493,67.61666666666666,63.78333333333334
sarimax,Taiwan Strait,30,n_total,25.398472590904625,30.552898757172,12.077373370614659,11.068697819760992,225.375,235.27326548080086
analog,Taiwan Strait,30,n_total,30.391666666666666,36.379353753641645,13.97054611774632,13.451642655584635,225.375,227.33333333333334
sarimax,Bohai Strait,90,n_total,21.425075415508125,28.939353609234214,15.212494936495798,12.864936160553333,169.31666666666666,183.63719883037032
analog,Bohai Strait,90,n_total,36.919444444444444,46.38793734339724,23.156565117150624,23.023694410628472,169.31666666666666,174.85833333333335
sarimax,Korea Strait,90,n_total,21.307336878386046,28.477195638747787,10.88550798718583,10.079512637195892,214.99444444444444,220.2949425358789
analog,Korea Strait,90,n_total,29.552777777777777,37.44905154456479,14.545717604823073,14.182617790188866,214.99444444444444,215.19166666666666
sarimax,Malacca Strait,90,n_total,15.454860868750869,19.011486401338736,7.936425148075988,7.541749060399174,202.48333333333335,212.24659865772537
analog,Malacca Strait,90,n_total,21.65,27.081404744870888,10.932038870084277,10.906837590464356,202.48333333333335,205.13888888888889
sarimax,Strait of Hormuz,90,n_total,20.81852594477243,24.243785799531516,277.73199107283097,38.396428660428626,74.04444444444445,80.8274187723598
analog,Strait of Hormuz,90,n_total,22.569444444444443,26.559491861483284,254.29574450844817,41.7048596975427,74.04444444444445,79.63055555555556
sarimax,Taiwan Strait,90,n_total,27.762052686526257,33.95668954574811,13.48139832109904,12.151307548923235,224.01388888888889,242.06574074060646
analog,Taiwan Strait,90,n_total,35.24166666666667,44.35775032494909,16.469210531364936,15.659630151047176,224.01388888888889,237.25
