model_key,rank,mean_cv_f1_macro,std_cv_f1_macro,params
log_reg,1,0.9648247895852217,0.005364087580949941,"{'model__C': 3.0, 'model__solver': 'lbfgs'}"
log_reg,2,0.9518950056024131,0.01019061456986092,"{'model__C': 1.0, 'model__solver': 'lbfgs'}"
log_reg,3,0.922817482490433,0.009074108621837362,"{'model__C': 0.1, 'model__solver': 'lbfgs'}"
random_forest,1,0.9441178052772287,0.005898368115689413,"{'max_depth': 12, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 250}"
random_forest,2,0.9429464092567277,0.008729372188110674,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 250}"
random_forest,3,0.9423714939481588,0.0055605417819009585,"{'max_depth': 12, 'max_features': 'sqrt', 'min_samples_leaf': 3, 'n_estimators': 250}"
random_forest,4,0.9412505182543498,0.008194772633792329,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 3, 'n_estimators': 250}"
gradient_boosting,1,0.9522465879824488,0.006238468444541036,"{'learning_rate': 0.1, 'max_depth': 3, 'min_samples_leaf': 1, 'n_estimators': 150, 'subsample': 0.9}"
gradient_boosting,2,0.9517516083808553,0.0018961904225250417,"{'learning_rate': 0.1, 'max_depth': 2, 'min_samples_leaf': 1, 'n_estimators': 150, 'subsample': 0.9}"
gradient_boosting,3,0.95117381578545,0.0080459296129285,"{'learning_rate': 0.1, 'max_depth': 3, 'min_samples_leaf': 1, 'n_estimators': 250, 'subsample': 0.9}"
gradient_boosting,4,0.9501402647613376,0.008961094175493284,"{'learning_rate': 0.05, 'max_depth': 3, 'min_samples_leaf': 1, 'n_estimators': 250, 'subsample': 0.9}"
gradient_boosting,5,0.9484933277844515,0.0032149398981381663,"{'learning_rate': 0.1, 'max_depth': 2, 'min_samples_leaf': 1, 'n_estimators': 250, 'subsample': 0.9}"
gradient_boosting,6,0.9473992503536187,0.007200863532247016,"{'learning_rate': 0.05, 'max_depth': 3, 'min_samples_leaf': 1, 'n_estimators': 150, 'subsample': 0.9}"
gradient_boosting,7,0.94513608621833,0.002845956889099443,"{'learning_rate': 0.05, 'max_depth': 2, 'min_samples_leaf': 1, 'n_estimators': 250, 'subsample': 0.9}"
gradient_boosting,8,0.9403035156914196,0.0033260416310990333,"{'learning_rate': 0.05, 'max_depth': 2, 'min_samples_leaf': 1, 'n_estimators': 150, 'subsample': 0.9}"
